Mese,Bulbasaur,Charmander,Squirtle,Pikachu
2014-01,2,3,2,23
2014-02,2,3,2,24
2014-03,2,4,3,27
2014-04,2,3,2,25
2014-05,2,3,2,25
2014-06,2,2,2,27
2014-07,2,3,2,24
2014-08,2,3,2,25
2014-09,1,2,2,22
2014-10,2,2,2,24
2014-11,2,2,2,24
2014-12,2,3,2,25
2015-01,2,3,2,23
2015-02,2,2,2,24
2015-03,1,2,2,21
2015-04,2,4,2,23
2015-05,1,3,2,23
2015-06,1,2,2,23
2015-07,1,3,2,22
2015-08,2,3,2,23
2015-09,2,3,3,23
2015-10,2,3,3,24
2015-11,1,3,2,21
2015-12,1,3,2,23
2016-01,1,2,2,19
2016-02,2,3,3,21
2016-03,2,3,4,25
2016-04,2,3,3,21
2016-05,2,3,3,21
2016-06,2,2,2,22
2016-07,14,25,18,100
2016-08,11,21,14,83
2016-09,6,13,8,59
2016-10,4,8,6,48
2016-11,4,6,5,52
2016-12,4,6,4,53
2017-01,3,5,4,40
2017-02,3,4,3,37
2017-03,2,4,3,34
2017-04,2,3,3,31
2017-05,2,3,3,30
2017-06,2,3,2,28
2017-07,2,3,2,32
2017-08,2,3,2,33
2017-09,2,3,2,28
2017-10,2,3,2,29
2017-11,2,2,2,29
2017-12,2,3,2,29
2018-01,2,2,2,26
2018-02,2,2,2,24
2018-03,4,3,2,24
2018-04,2,3,2,22
2018-05,2,4,2,24
2018-06,2,3,3,26
2018-07,2,3,5,27
2018-08,2,3,3,26
2018-09,2,2,2,23
2018-10,2,2,2,24
2018-11,4,4,3,58
2018-12,3,4,3,47
2019-01,2,3,3,33
2019-02,3,3,2,33
2019-03,3,3,2,33
2019-04,2,3,2,36
2019-05,4,3,3,68
2019-06,3,3,3,46
2019-07,3,3,3,38
2019-08,3,3,3,40
2019-09,2,3,3,33
2019-10,3,3,3,34
2019-11,3,5,3,36
2019-12,3,5,3,29
2020-01,2,4,3,22
2020-02,3,3,3,23
2020-03,3,4,3,29
2020-04,3,4,3,30
2020-05,3,4,3,33
2020-06,3,3,3,27
2020-07,3,3,3,31
2020-08,3,4,3,33
2020-09,2,3,3,28
2020-10,3,5,3,33
2020-11,3,3,3,32
2020-12,3,4,3,34
2021-01,3,3,3,30
2021-02,3,4,3,33
2021-03,3,4,3,31
2021-04,2,3,3,29
2021-05,2,3,3,31
2021-06,3,4,3,30
2021-07,3,4,4,34
2021-08,3,4,3,29
2021-09,2,3,3,29
2021-10,2,4,3,32
2021-11,2,4,3,38
2021-12,3,4,3,34
2022-01,4,4,3,31
2022-02,3,4,4,34
2022-03,3,4,4,33
2022-04,3,4,4,33
2022-05,3,4,4,34
2022-06,3,4,4,34
2022-07,3,4,4,37
2022-08,3,4,3,34
2022-09,3,4,3,33
2022-10,3,4,3,34
2022-11,3,5,4,40
2022-12,4,7,4,38
2023-01,3,5,3,33
2023-02,3,4,3,37
2023-03,3,4,3,34
2023-04,3,4,3,35
2023-05,3,4,3,33
2023-06,3,4,3,34
2023-07,3,4,5,31
2023-08,3,4,3,33
2023-09,3,5,3,32
2023-10,3,4,3,36
2023-11,3,4,3,33
2023-12,4,4,4,34
