Mese,Chikorita,Cyndaquil,Totodile
2014-01,18,32,29
2014-02,17,26,26
2014-03,17,30,31
2014-04,15,27,23
2014-05,15,23,20
2014-06,16,21,20
2014-07,14,23,21
2014-08,13,21,20
2014-09,11,15,15
2014-10,10,16,13
2014-11,13,17,17
2014-12,17,26,23
2015-01,16,23,22
2015-02,15,18,19
2015-03,15,18,17
2015-04,14,16,16
2015-05,12,16,16
2015-06,12,16,16
2015-07,12,17,17
2015-08,13,18,17
2015-09,13,18,17
2015-10,13,17,16
2015-11,11,15,14
2015-12,12,18,16
2016-01,11,15,15
2016-02,14,18,17
2016-03,14,21,19
2016-04,14,18,17
2016-05,14,21,18
2016-06,13,18,17
2016-07,40,54,46
2016-08,42,44,49
2016-09,27,31,33
2016-10,19,23,25
2016-11,31,33,27
2016-12,47,39,33
2017-01,33,27,25
2017-02,51,45,40
2017-03,36,35,39
2017-04,31,23,25
2017-05,28,12,19
2017-06,27,15,23
2017-07,25,13,23
2017-08,26,16,24
2017-09,23,22,22
2017-10,20,19,18
2017-11,19,15,17
2017-12,20,19,17
2018-01,18,18,17
2018-02,18,17,16
2018-03,19,16,15
2018-04,17,16,15
2018-05,19,15,15
2018-06,21,18,22
2018-07,23,21,18
2018-08,44,23,20
2018-09,85,16,14
2018-10,18,27,12
2018-11,21,80,17
2018-12,26,22,27
2019-01,17,16,57
2019-02,18,16,13
2019-03,33,18,16
2019-04,18,12,13
2019-05,20,14,15
2019-06,23,12,18
2019-07,24,12,17
2019-08,24,18,22
2019-09,25,19,21
2019-10,19,15,14
2019-11,22,18,17
2019-12,23,18,20
2020-01,21,20,16
2020-02,22,18,15
2020-03,26,23,23
2020-04,25,22,20
2020-05,33,29,29
2020-06,21,19,15
2020-07,23,19,16
2020-08,23,19,17
2020-09,20,17,15
2020-10,20,16,14
2020-11,26,25,16
2020-12,25,18,16
2021-01,26,23,25
2021-02,26,28,21
2021-03,24,22,21
2021-04,27,19,18
2021-05,22,20,18
2021-06,22,18,15
2021-07,32,32,31
2021-08,18,21,16
2021-09,15,19,21
2021-10,9,17,16
2021-11,12,21,22
2021-12,12,26,23
2022-01,8,100,23
2022-02,9,98,26
2022-03,9,40,21
2022-04,7,29,18
2022-05,6,26,18
2022-06,7,27,20
2022-07,6,30,20
2022-08,6,29,21
2022-09,7,26,22
2022-10,10,25,18
2022-11,13,34,26
2022-12,10,28,22
2023-01,10,24,19
2023-02,11,21,16
2023-03,16,21,17
2023-04,19,28,17
2023-05,16,21,17
2023-06,18,22,17
2023-07,25,25,20
2023-08,25,24,21
2023-09,23,24,21
2023-10,21,21,18
2023-11,19,21,15
2023-12,25,28,27
